ConsumoID,Frecuencia_Consumo,Lugar_Compra_Habitual,Compania_Partidos,Gasto_Snacks_Partido
75,Todos los días,Gasolinera,Compañeros de trabajo,Q25 - Q50
76,Varias veces al mes,Otro,Familia,Más de Q150
77,Todos los días,Aplicación de delivery,Amigos,Q51 - Q100
78,1 a 2 veces por semana,Tienda de barrio,Amigos,Q51 - Q100
79,3 a 5 veces por semana,Tienda de barrio,Compañeros de trabajo,Menos de Q25
80,Todos los días,Tienda de barrio,Amigos,Q51 - Q100
81,3 a 5 veces por semana,Gasolinera,Familia,Más de Q150
82,Todos los días,Supermercado,Familia,Q51 - Q100
83,3 a 5 veces por semana,Gasolinera,Familia,Q101 - Q150
84,Todos los días,Supermercado,Amigos,Q25 - Q50
85,1 a 2 veces por semana,Gasolinera,Familia,Q25 - Q50
86,Varias veces al mes,Supermercado,Amigos,Q101 - Q150
87,Varias veces al mes,Kiosco escolar/universitario,Amigos,Q101 - Q150
88,Todos los días,Kiosco escolar/universitario,Amigos,Q101 - Q150
89,Todos los días,Kiosco escolar/universitario,Familia,Q51 - Q100
90,3 a 5 veces por semana,Aplicación de delivery,Familia,Q51 - Q100
91,1 a 2 veces por semana,Tienda de barrio,Solo,Q25 - Q50
92,Varias veces al mes,Supermercado,Solo,Q25 - Q50
93,3 a 5 veces por semana,Supermercado,Familia,Q51 - Q100
94,Todos los días,Otro,Familia,Q101 - Q150
95,1 a 2 veces por semana,Aplicación de delivery,Familia,Q25 - Q50
96,Varias veces al mes,Supermercado,Compañeros de trabajo,Q51 - Q100
97,Varias veces al mes,Kiosco escolar/universitario,Familia,Q25 - Q50
98,3 a 5 veces por semana,Supermercado,Compañeros de trabajo,Q51 - Q100
99,Varias veces al mes,Otro,Familia,Q25 - Q50
100,1 a 2 veces por semana,Otro,Amigos,Más de Q150
101,Varias veces al mes,Supermercado,Amigos,Menos de Q25
102,3 a 5 veces por semana,Aplicación de delivery,Compañeros de trabajo,Q25 - Q50
103,1 a 2 veces por semana,Supermercado,Amigos,Q101 - Q150
104,1 a 2 veces por semana,Aplicación de delivery,Familia,Q101 - Q150
105,1 a 2 veces por semana,Tienda de barrio,Otro,Q25 - Q50
106,1 a 2 veces por semana,Supermercado,Otro,Q25 - Q50
107,Rara vez,Tienda de barrio,Amigos,Q51 - Q100
108,1 a 2 veces por semana,Supermercado,Familia,Q101 - Q150
109,1 a 2 veces por semana,Gasolinera,Familia,Q101 - Q150
110,Varias veces al mes,Aplicación de delivery,Solo,Q51 - Q100
111,Rara vez,No especificado,Amigos,Más de Q150
112,1 a 2 veces por semana,Supermercado,Familia,Q51 - Q100
113,Todos los días,Kiosco escolar/universitario,Compañeros de trabajo,Q51 - Q100
114,Varias veces al mes,Supermercado,Amigos,Q25 - Q50
115,1 a 2 veces por semana,Gasolinera,Solo,Q51 - Q100
116,1 a 2 veces por semana,Supermercado,Otro,Q51 - Q100
117,Rara vez,Gasolinera,Familia,Q25 - Q50
118,3 a 5 veces por semana,Supermercado,Familia,Más de Q150
119,Todos los días,Gasolinera,Familia,Menos de Q25
120,1 a 2 veces por semana,Otro,Compañeros de trabajo,Q25 - Q50
121,3 a 5 veces por semana,Tienda de barrio,Amigos,Q101 - Q150
122,Varias veces al mes,Supermercado,Solo,Menos de Q25
123,1 a 2 veces por semana,Gasolinera,Amigos,Q101 - Q150
124,Varias veces al mes,Gasolinera,Familia,Más de Q150
125,Rara vez,No especificado,Compañeros de trabajo,Q51 - Q100
126,3 a 5 veces por semana,Supermercado,Amigos,Menos de Q25
127,1 a 2 veces por semana,Aplicación de delivery,Amigos,Q101 - Q150
128,3 a 5 veces por semana,Tienda de barrio,Familia,Q25 - Q50
129,1 a 2 veces por semana,Gasolinera,Familia,Menos de Q25
130,Varias veces al mes,Tienda de barrio,Otro,Más de Q150
131,Rara vez,Supermercado,Amigos,Q25 - Q50
132,Rara vez,Tienda de barrio,Amigos,Q25 - Q50
133,1 a 2 veces por semana,Supermercado,Compañeros de trabajo,Q25 - Q50
134,1 a 2 veces por semana,Aplicación de delivery,Familia,Q51 - Q100
135,Todos los días,Tienda de barrio,Familia,Menos de Q25
136,Todos los días,Tienda de barrio,Familia,Más de Q150
137,1 a 2 veces por semana,Gasolinera,Familia,Q51 - Q100
138,3 a 5 veces por semana,Tienda de barrio,Familia,Q101 - Q150
139,1 a 2 veces por semana,Kiosco escolar/universitario,Amigos,Menos de Q25
140,Varias veces al mes,Gasolinera,Solo,Más de Q150
141,3 a 5 veces por semana,Otro,Familia,Q25 - Q50
142,3 a 5 veces por semana,Otro,Familia,Más de Q150
143,Todos los días,Supermercado,Amigos,Q101 - Q150
144,3 a 5 veces por semana,Supermercado,Amigos,Q101 - Q150
145,Todos los días,Gasolinera,Solo,Q25 - Q50
146,Todos los días,Supermercado,Familia,Q101 - Q150
147,Todos los días,Kiosco escolar/universitario,Solo,Q25 - Q50
148,Varias veces al mes,Tienda de barrio,Amigos,Más de Q150
149,Varias veces al mes,Aplicación de delivery,Compañeros de trabajo,Q25 - Q50
150,Varias veces al mes,Aplicación de delivery,Compañeros de trabajo,Más de Q150
151,Todos los días,Supermercado,Amigos,Q51 - Q100
152,3 a 5 veces por semana,Gasolinera,Otro,Q51 - Q100
153,Todos los días,Supermercado,Amigos,Menos de Q25
154,3 a 5 veces por semana,Aplicación de delivery,Familia,Q25 - Q50
155,3 a 5 veces por semana,Aplicación de delivery,Familia,Menos de Q25
156,Todos los días,Tienda de barrio,Compañeros de trabajo,Q51 - Q100
157,Varias veces al mes,Otro,Familia,Q51 - Q100
158,Varias veces al mes,Tienda de barrio,Familia,Menos de Q25
159,1 a 2 veces por semana,Gasolinera,Familia,Más de Q150
160,3 a 5 veces por semana,Tienda de barrio,Amigos,Menos de Q25
161,3 a 5 veces por semana,Supermercado,Amigos,Q25 - Q50
162,1 a 2 veces por semana,Tienda de barrio,Compañeros de trabajo,Q101 - Q150
163,1 a 2 veces por semana,Otro,Otro,Q25 - Q50
164,1 a 2 veces por semana,Gasolinera,Amigos,Menos de Q25
165,Rara vez,Supermercado,Amigos,Q51 - Q100
166,Varias veces al mes,Gasolinera,Amigos,Q25 - Q50
167,3 a 5 veces por semana,Gasolinera,Familia,Q51 - Q100
168,3 a 5 veces por semana,Kiosco escolar/universitario,Familia,Q51 - Q100
169,1 a 2 veces por semana,Supermercado,Solo,Q25 - Q50
170,Varias veces al mes,Tienda de barrio,Otro,Q25 - Q50
171,Varias veces al mes,Tienda de barrio,Compañeros de trabajo,Menos de Q25
172,Varias veces al mes,Aplicación de delivery,Otro,Q51 - Q100
173,Todos los días,Gasolinera,Amigos,Más de Q150
174,Rara vez,Tienda de barrio,Familia,Q25 - Q50
175,Varias veces al mes,Tienda de barrio,Amigos,Q101 - Q150
176,Varias veces al mes,Supermercado,Otro,Q25 - Q50
177,Todos los días,Aplicación de delivery,Amigos,Más de Q150
178,Varias veces al mes,Supermercado,Familia,Menos de Q25
179,1 a 2 veces por semana,Otro,Familia,Q51 - Q100
180,Todos los días,Gasolinera,Amigos,Q25 - Q50
181,Rara vez,Supermercado,Familia,Q51 - Q100
182,Varias veces al mes,Tienda de barrio,Familia,Q25 - Q50
183,Varias veces al mes,Kiosco escolar/universitario,Otro,Q25 - Q50
184,1 a 2 veces por semana,Otro,Familia,Q25 - Q50
185,Varias veces al mes,Otro,Amigos,Q51 - Q100
186,Rara vez,Tienda de barrio,Solo,Q51 - Q100
187,Todos los días,Gasolinera,Familia,Q51 - Q100
188,Rara vez,Supermercado,Solo,Q101 - Q150
189,1 a 2 veces por semana,Tienda de barrio,Amigos,Menos de Q25
190,Varias veces al mes,Gasolinera,Familia,Menos de Q25
191,Rara vez,Kiosco escolar/universitario,Solo,Q51 - Q100
192,Todos los días,Gasolinera,Familia,Q101 - Q150
193,3 a 5 veces por semana,Aplicación de delivery,Amigos,Q51 - Q100
194,Todos los días,Otro,Amigos,Q25 - Q50
195,1 a 2 veces por semana,Aplicación de delivery,Solo,Q25 - Q50
196,3 a 5 veces por semana,Otro,Familia,Q51 - Q100
197,1 a 2 veces por semana,Kiosco escolar/universitario,Solo,Q25 - Q50
198,Rara vez,Aplicación de delivery,Amigos,Q25 - Q50
199,Rara vez,Gasolinera,Familia,Menos de Q25
200,1 a 2 veces por semana,Tienda de barrio,Familia,Menos de Q25
201,Varias veces al mes,Otro,Amigos,Q25 - Q50
202,Todos los días,Kiosco escolar/universitario,Amigos,Q25 - Q50
203,Todos los días,Supermercado,Familia,Q25 - Q50
204,3 a 5 veces por semana,Kiosco escolar/universitario,Amigos,Q51 - Q100
205,Rara vez,Supermercado,Compañeros de trabajo,Más de Q150
206,Todos los días,Gasolinera,Familia,Q25 - Q50
207,Todos los días,Supermercado,Compañeros de trabajo,Menos de Q25
208,1 a 2 veces por semana,Gasolinera,Amigos,Q51 - Q100
209,1 a 2 veces por semana,Tienda de barrio,Amigos,Q101 - Q150
210,Varias veces al mes,Gasolinera,Solo,Q101 - Q150
211,3 a 5 veces por semana,Tienda de barrio,Solo,Menos de Q25
212,1 a 2 veces por semana,Gasolinera,Amigos,Más de Q150
213,Todos los días,Tienda de barrio,Solo,Q51 - Q100
214,1 a 2 veces por semana,Tienda de barrio,Solo,Q101 - Q150
215,Varias veces al mes,Tienda de barrio,Solo,Q51 - Q100
216,1 a 2 veces por semana,Otro,Amigos,Q25 - Q50
217,3 a 5 veces por semana,Gasolinera,Amigos,Q51 - Q100
218,Varias veces al mes,Supermercado,Compañeros de trabajo,Q25 - Q50
219,Varias veces al mes,Aplicación de delivery,Compañeros de trabajo,Q101 - Q150
220,1 a 2 veces por semana,Otro,Familia,Menos de Q25
221,3 a 5 veces por semana,Supermercado,Compañeros de trabajo,Q101 - Q150
222,Rara vez,Aplicación de delivery,Familia,Q25 - Q50
223,Varias veces al mes,Aplicación de delivery,Familia,Q51 - Q100
224,Rara vez,Supermercado,Familia,Q25 - Q50
225,Varias veces al mes,Aplicación de delivery,Amigos,Q51 - Q100
226,3 a 5 veces por semana,No especificado,Otro,Menos de Q25
227,3 a 5 veces por semana,Gasolinera,Amigos,Más de Q150
228,Todos los días,Kiosco escolar/universitario,Amigos,Q51 - Q100
229,1 a 2 veces por semana,Kiosco escolar/universitario,Familia,Q51 - Q100
230,3 a 5 veces por semana,Gasolinera,Familia,Q25 - Q50
231,Rara vez,Gasolinera,Otro,Menos de Q25
232,1 a 2 veces por semana,Supermercado,Compañeros de trabajo,Menos de Q25
233,1 a 2 veces por semana,Tienda de barrio,Solo,Q51 - Q100
234,1 a 2 veces por semana,Tienda de barrio,Familia,Q101 - Q150
235,3 a 5 veces por semana,Gasolinera,Familia,Menos de Q25
236,Rara vez,Tienda de barrio,Otro,Q25 - Q50
237,Rara vez,Otro,Amigos,Q51 - Q100
238,Todos los días,Otro,Familia,Q25 - Q50
239,Todos los días,Kiosco escolar/universitario,Otro,Q51 - Q100
240,Rara vez,Supermercado,Amigos,Q101 - Q150
241,Varias veces al mes,Supermercado,Familia,Q51 - Q100
242,Varias veces al mes,Otro,Amigos,Q101 - Q150
243,Todos los días,Gasolinera,Amigos,Q101 - Q150
244,Todos los días,Tienda de barrio,Familia,Q101 - Q150
245,3 a 5 veces por semana,Tienda de barrio,Otro,Menos de Q25
246,3 a 5 veces por semana,Aplicación de delivery,Amigos,Menos de Q25
247,Varias veces al mes,Kiosco escolar/universitario,Amigos,Q25 - Q50
248,Todos los días,Supermercado,Compañeros de trabajo,Q51 - Q100
249,Varias veces al mes,Tienda de barrio,Amigos,Menos de Q25
250,1 a 2 veces por semana,Supermercado,Solo,Menos de Q25
251,3 a 5 veces por semana,Aplicación de delivery,Solo,Menos de Q25
252,1 a 2 veces por semana,Gasolinera,Solo,Menos de Q25
253,Rara vez,Tienda de barrio,Compañeros de trabajo,Q25 - Q50
254,Rara vez,Supermercado,Familia,Q101 - Q150
255,3 a 5 veces por semana,Supermercado,Solo,Q101 - Q150
256,Varias veces al mes,Aplicación de delivery,Amigos,Menos de Q25
257,3 a 5 veces por semana,Gasolinera,Amigos,Q25 - Q50
258,3 a 5 veces por semana,Otro,Amigos,Más de Q150
259,Varias veces al mes,Tienda de barrio,Compañeros de trabajo,Q25 - Q50
260,3 a 5 veces por semana,Otro,Amigos,Q25 - Q50
261,3 a 5 veces por semana,Aplicación de delivery,Amigos,Más de Q150
262,Rara vez,Kiosco escolar/universitario,Amigos,Q51 - Q100
263,1 a 2 veces por semana,Aplicación de delivery,Solo,Menos de Q25
264,Varias veces al mes,Aplicación de delivery,Amigos,Más de Q150
265,3 a 5 veces por semana,Supermercado,Amigos,Más de Q150
266,Todos los días,No especificado,Familia,Q25 - Q50
267,Rara vez,Gasolinera,Amigos,Más de Q150
268,Todos los días,Tienda de barrio,Compañeros de trabajo,Q25 - Q50
269,1 a 2 veces por semana,Supermercado,Familia,Más de Q150
270,Rara vez,Gasolinera,Amigos,Q101 - Q150
271,1 a 2 veces por semana,No especificado,Amigos,Q25 - Q50
272,Rara vez,Kiosco escolar/universitario,Compañeros de trabajo,Menos de Q25
273,3 a 5 veces por semana,Gasolinera,Solo,Q51 - Q100
274,Todos los días,Gasolinera,Otro,Q25 - Q50
275,1 a 2 veces por semana,Kiosco escolar/universitario,Familia,Menos de Q25
276,3 a 5 veces por semana,Tienda de barrio,Compañeros de trabajo,Q25 - Q50
277,1 a 2 veces por semana,Tienda de barrio,Compañeros de trabajo,Q25 - Q50
278,Varias veces al mes,Supermercado,Amigos,Más de Q150
279,1 a 2 veces por semana,Kiosco escolar/universitario,Solo,Q51 - Q100
280,Todos los días,Tienda de barrio,Compañeros de trabajo,Q101 - Q150
281,1 a 2 veces por semana,Gasolinera,Compañeros de trabajo,Q25 - Q50
282,3 a 5 veces por semana,Tienda de barrio,Familia,Menos de Q25
283,Varias veces al mes,Gasolinera,Amigos,Q101 - Q150
284,Varias veces al mes,Gasolinera,Amigos,Más de Q150
285,Rara vez,Tienda de barrio,Familia,Q51 - Q100
286,3 a 5 veces por semana,Gasolinera,Compañeros de trabajo,Q51 - Q100
287,1 a 2 veces por semana,Gasolinera,Solo,Más de Q150
288,1 a 2 veces por semana,Gasolinera,Solo,Q25 - Q50
289,3 a 5 veces por semana,Supermercado,Compañeros de trabajo,Q25 - Q50
290,1 a 2 veces por semana,Kiosco escolar/universitario,Familia,Q25 - Q50
291,Varias veces al mes,Gasolinera,Amigos,Menos de Q25
292,3 a 5 veces por semana,Gasolinera,Compañeros de trabajo,Q25 - Q50
293,Rara vez,Gasolinera,Solo,Q25 - Q50
294,Todos los días,Aplicación de delivery,Compañeros de trabajo,Q25 - Q50
295,Todos los días,Aplicación de delivery,Familia,Menos de Q25
296,3 a 5 veces por semana,Kiosco escolar/universitario,Amigos,Q25 - Q50
297,Varias veces al mes,Kiosco escolar/universitario,Amigos,Q51 - Q100
298,3 a 5 veces por semana,Aplicación de delivery,Familia,Q101 - Q150
299,Varias veces al mes,Aplicación de delivery,Familia,Q101 - Q150
300,1 a 2 veces por semana,Supermercado,Otro,Más de Q150
301,Todos los días,Tienda de barrio,Amigos,Q101 - Q150
302,Rara vez,Tienda de barrio,Amigos,Más de Q150
303,Todos los días,Supermercado,Solo,Q25 - Q50
304,3 a 5 veces por semana,Kiosco escolar/universitario,Compañeros de trabajo,Q51 - Q100
305,1 a 2 veces por semana,Gasolinera,Otro,Q25 - Q50
306,Todos los días,Gasolinera,Solo,Q51 - Q100
307,Varias veces al mes,Gasolinera,Compañeros de trabajo,Q25 - Q50
308,3 a 5 veces por semana,Tienda de barrio,Otro,Q101 - Q150
309,1 a 2 veces por semana,Kiosco escolar/universitario,Amigos,Q51 - Q100
310,3 a 5 veces por semana,Aplicación de delivery,Amigos,Q25 - Q50
311,1 a 2 veces por semana,Aplicación de delivery,Otro,Q51 - Q100
312,1 a 2 veces por semana,Kiosco escolar/universitario,Otro,Más de Q150
313,3 a 5 veces por semana,Aplicación de delivery,Amigos,Q101 - Q150
314,1 a 2 veces por semana,Aplicación de delivery,Otro,Menos de Q25
315,3 a 5 veces por semana,Tienda de barrio,Solo,Q101 - Q150
316,Varias veces al mes,Supermercado,Solo,Q51 - Q100
317,Todos los días,Tienda de barrio,Amigos,Más de Q150
318,Varias veces al mes,Tienda de barrio,Familia,Q101 - Q150
319,3 a 5 veces por semana,Kiosco escolar/universitario,Familia,Más de Q150
320,3 a 5 veces por semana,Tienda de barrio,Otro,Q25 - Q50
321,Varias veces al mes,Supermercado,Familia,Más de Q150
322,Rara vez,Gasolinera,Compañeros de trabajo,Q25 - Q50
323,3 a 5 veces por semana,Otro,Familia,Menos de Q25
324,Varias veces al mes,Gasolinera,Familia,Q25 - Q50
325,3 a 5 veces por semana,Aplicación de delivery,Compañeros de trabajo,Más de Q150
326,3 a 5 veces por semana,Supermercado,Compañeros de trabajo,Menos de Q25
327,Rara vez,Aplicación de delivery,Familia,Q51 - Q100
328,Todos los días,Kiosco escolar/universitario,Otro,Menos de Q25
329,Todos los días,Tienda de barrio,Solo,Q25 - Q50
330,1 a 2 veces por semana,No especificado,Familia,Q25 - Q50
331,Todos los días,Kiosco escolar/universitario,Compañeros de trabajo,Más de Q150
332,1 a 2 veces por semana,Kiosco escolar/universitario,Compañeros de trabajo,Q51 - Q100
333,1 a 2 veces por semana,Gasolinera,Compañeros de trabajo,Q51 - Q100
334,1 a 2 veces por semana,Otro,Compañeros de trabajo,Q101 - Q150
335,Varias veces al mes,Kiosco escolar/universitario,Compañeros de trabajo,Q51 - Q100
336,Varias veces al mes,Kiosco escolar/universitario,Amigos,Más de Q150
337,Todos los días,Gasolinera,Amigos,Menos de Q25
338,Todos los días,Gasolinera,Solo,Más de Q150
339,Rara vez,Supermercado,Otro,Q51 - Q100
340,3 a 5 veces por semana,Supermercado,Otro,Menos de Q25
341,1 a 2 veces por semana,Tienda de barrio,Compañeros de trabajo,Menos de Q25
342,1 a 2 veces por semana,Otro,Amigos,Q51 - Q100
343,3 a 5 veces por semana,Aplicación de delivery,Solo,Q101 - Q150
344,Rara vez,Aplicación de delivery,Amigos,Menos de Q25
345,Varias veces al mes,Supermercado,Solo,Q101 - Q150
346,1 a 2 veces por semana,Aplicación de delivery,Compañeros de trabajo,Menos de Q25
347,1 a 2 veces por semana,Otro,Familia,Q101 - Q150
348,3 a 5 veces por semana,Tienda de barrio,Compañeros de trabajo,Más de Q150
349,Rara vez,Otro,Compañeros de trabajo,Q25 - Q50
350,3 a 5 veces por semana,Tienda de barrio,Solo,Más de Q150
351,1 a 2 veces por semana,Gasolinera,Otro,Menos de Q25
352,Varias veces al mes,Gasolinera,Familia,Q101 - Q150
353,1 a 2 veces por semana,Aplicación de delivery,Otro,Q25 - Q50
354,1 a 2 veces por semana,Tienda de barrio,Otro,Q101 - Q150
355,Varias veces al mes,Aplicación de delivery,Familia,Q25 - Q50
356,3 a 5 veces por semana,Tienda de barrio,Amigos,Más de Q150
357,Todos los días,Otro,Solo,Q51 - Q100
358,1 a 2 veces por semana,No especificado,Amigos,Q51 - Q100
359,Rara vez,Supermercado,Compañeros de trabajo,Q101 - Q150
360,1 a 2 veces por semana,Aplicación de delivery,Amigos,Q25 - Q50
361,Varias veces al mes,Otro,Otro,Q51 - Q100
362,Varias veces al mes,Gasolinera,Compañeros de trabajo,Q51 - Q100
363,1 a 2 veces por semana,No especificado,Familia,Q51 - Q100
364,Rara vez,Kiosco escolar/universitario,Familia,Q25 - Q50
365,1 a 2 veces por semana,Tienda de barrio,Amigos,Más de Q150
366,3 a 5 veces por semana,Kiosco escolar/universitario,Compañeros de trabajo,Q101 - Q150
367,Rara vez,Supermercado,Solo,Menos de Q25
368,3 a 5 veces por semana,No especificado,Familia,Q51 - Q100
369,Todos los días,Otro,Otro,Q51 - Q100
370,3 a 5 veces por semana,Supermercado,Solo,Q25 - Q50
371,1 a 2 veces por semana,Kiosco escolar/universitario,Amigos,Q25 - Q50
372,Varias veces al mes,Tienda de barrio,Solo,Menos de Q25
373,Rara vez,Supermercado,Familia,Menos de Q25
374,Varias veces al mes,Gasolinera,Otro,Q51 - Q100
375,Varias veces al mes,Supermercado,Amigos,Q51 - Q100
376,1 a 2 veces por semana,Aplicación de delivery,Familia,Menos de Q25
377,1 a 2 veces por semana,Aplicación de delivery,Familia,Más de Q150
378,Todos los días,Supermercado,Compañeros de trabajo,Más de Q150
379,3 a 5 veces por semana,Supermercado,Otro,Q51 - Q100
380,Varias veces al mes,Aplicación de delivery,Amigos,Q101 - Q150
381,3 a 5 veces por semana,Kiosco escolar/universitario,Solo,Q25 - Q50
382,Varias veces al mes,Gasolinera,Solo,Q51 - Q100
383,3 a 5 veces por semana,Kiosco escolar/universitario,Solo,Q51 - Q100
384,Todos los días,Aplicación de delivery,Amigos,Q25 - Q50
385,Rara vez,Kiosco escolar/universitario,Familia,Q101 - Q150
386,Rara vez,Supermercado,Amigos,Menos de Q25
387,1 a 2 veces por semana,Kiosco escolar/universitario,Solo,Menos de Q25
388,Rara vez,Tienda de barrio,Solo,Q101 - Q150
389,3 a 5 veces por semana,Gasolinera,Amigos,Menos de Q25
390,Todos los días,Aplicación de delivery,Familia,Q51 - Q100
391,1 a 2 veces por semana,Aplicación de delivery,Compañeros de trabajo,Q51 - Q100
392,Varias veces al mes,Gasolinera,Solo,Q25 - Q50
393,1 a 2 veces por semana,Kiosco escolar/universitario,Familia,Q101 - Q150
394,3 a 5 veces por semana,Gasolinera,Solo,Menos de Q25
395,Varias veces al mes,Tienda de barrio,Compañeros de trabajo,Q51 - Q100
396,Todos los días,Tienda de barrio,Otro,Más de Q150
397,Rara vez,Otro,Amigos,Q101 - Q150
398,3 a 5 veces por semana,Aplicación de delivery,Solo,Q25 - Q50
399,Todos los días,Kiosco escolar/universitario,Compañeros de trabajo,Q25 - Q50
400,3 a 5 veces por semana,No especificado,Familia,Q101 - Q150
401,Todos los días,Gasolinera,Compañeros de trabajo,Menos de Q25
402,1 a 2 veces por semana,Gasolinera,Compañeros de trabajo,Q101 - Q150
403,1 a 2 veces por semana,Kiosco escolar/universitario,Familia,Más de Q150
404,Todos los días,Kiosco escolar/universitario,Amigos,Menos de Q25
405,Varias veces al mes,Otro,Amigos,Más de Q150
406,Rara vez,Otro,Familia,Q51 - Q100
407,3 a 5 veces por semana,Aplicación de delivery,Familia,Más de Q150
408,Varias veces al mes,Aplicación de delivery,Familia,Más de Q150
409,Varias veces al mes,Otro,Solo,Q101 - Q150
410,Rara vez,Kiosco escolar/universitario,Amigos,Menos de Q25
411,Varias veces al mes,Tienda de barrio,Otro,Q101 - Q150
412,Varias veces al mes,No especificado,Amigos,Menos de Q25
413,1 a 2 veces por semana,Gasolinera,Otro,Q101 - Q150
