MarketingID,Equipo_Favorito,Compra_Diseno_Seleccion,Seleccion_Influye_Compra,Tipo_Publicidad,Tipo_Promocion,Sigue_Mundial_2026,Compraria_Tarjetas_Coleccionables
37,Portugal,Probablemente sí,Brasil,Un jugador famoso,Sorteo de viajes,Sí,Sí
38,España,Probablemente sí,España,Historias de aficionados,Descuento directo,Sí,No
39,Argentina,Definitivamente sí,México,Premios y sorteos,Sorteo de camisetas,Sí,Sí
40,Argentina,Definitivamente sí,México,Una selección nacional,2x1,Sí,No
41,Francia,Definitivamente sí,Francia,Premios y sorteos,Descuento directo,Sí,Sí
42,Argentina,Definitivamente sí,Estados Unidos,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
43,Estados Unidos,Definitivamente sí,Inglaterra,Historias de aficionados,Descuento directo,Sí,No
44,Francia,Probablemente sí, PORTUGAL ,Historias de aficionados,2x1,Sí,Sí
45,Brasil,Probablemente sí,Portugal,Humor,Tarjetas coleccionables,Sí,No
46,Portugal,Tal vez,Argentina,Una selección nacional,Sorteo de camisetas,Sí,No
47,Argentina,Definitivamente sí,Inglaterra,Un jugador famoso,2x1,No,Sí
48, ARGENTINA ,Tal vez,España,Una selección nacional,Descuento directo,Sí,Sí
49,Argentina,Definitivamente sí,México,Humor,Sorteo de viajes,Sí,No
50,Francia,Probablemente sí,Argentina,Un jugador famoso,Descuento directo,Sí,Sí
51,Estados Unidos,Probablemente sí,Uruguay,Una selección nacional,2x1,Sí,No
52,Portugal,Probablemente no,Argentina,Humor,Descuento directo,Sí,Sí
53,Argentina,Probablemente sí,Brasil,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
54,Francia,Probablemente sí,Brasil,Humor,Sorteo de balones,Sí,No
55,México,Probablemente sí,Alemania,Un jugador famoso,Descuento directo,Sí,Sí
56,Brasil,Definitivamente sí,México,Humor,Descuento directo,Sí,Sí
57,Estados Unidos,Tal vez,Brasil,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
58,Uruguay,Tal vez,Brasil,Un jugador famoso,Producto gratis,Sí,Sí
59,Inglaterra,Probablemente sí,Nueva Zelanda,Una selección nacional,Descuento directo,Sí,No
60,Argentina,Tal vez,Brasil,Un jugador famoso,Descuento directo,Sí,No
61,Brasil,Definitivamente sí,Uruguay,Un jugador famoso,2x1,Sí,No
62,Inglaterra,Definitivamente sí,Portugal,Un jugador famoso,Sorteo de camisetas,Sí,Sí
63,Brasil,Probablemente no,México,Un jugador famoso,Sorteo de balones,Sí,Sí
64,Austria,Probablemente sí,México,Una selección nacional,Sorteo de camisetas,Sí,Sí
65,Argentina,Tal vez,México,Historias de aficionados,Sorteo de camisetas,Sí,No
66,Estados Unidos,Definitivamente no,Uruguay,Un jugador famoso,2x1,Sí,No
67,Türkiye,Definitivamente sí,Alemania,Un jugador famoso,2x1,Sí,Sí
68,México,Tal vez,Portugal,Un jugador famoso,Sorteo de camisetas,Sí,No
69,España,Definitivamente no,Brasil,Premios y sorteos,Sorteo de viajes,Sí,No
70,Japón,Tal vez,España,Una selección nacional,Producto gratis,Sí,Sí
71,Argentina,Probablemente no,España,Premios y sorteos,2x1,Sí,Sí
72,Inglaterra,Probablemente no,Francia,Premios y sorteos,Descuento directo,Sí,Sí
73,Brasil,Definitivamente sí,Argentina,Humor,Tarjetas coleccionables,Sí,No
74,Noruega,Tal vez,Colombia,Humor,Sorteo de viajes,No,No
75, BRASIL ,Probablemente no,Argentina,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
76,Alemania,Probablemente sí,Argentina,Una selección nacional,2x1,Sí,No
77,Estados Unidos,Probablemente sí,Brasil,Historias de aficionados,Descuento directo,Sí,No
78,Colombia,Probablemente sí, ESTADOS UNIDOS ,Un jugador famoso,Tarjetas coleccionables,Sí,No
79,Brasil,Probablemente sí,Bosnia y Herzegovina,Una selección nacional,Sorteo de viajes,Sí,Sí
80,Inglaterra,Definitivamente sí,Irán,Un jugador famoso,Sorteo de viajes,Sí,No
81,Alemania,Probablemente no,Colombia,Una selección nacional,Tarjetas coleccionables,Sí,No
82,España,Tal vez,Brasil,Humor,Sorteo de camisetas,No,Sí
83,México,Tal vez, ESPAÑA ,Un jugador famoso,Sorteo de viajes,Sí,Sí
84,México,Definitivamente sí,Portugal,Historias de aficionados,2x1,Sí,Sí
85,Colombia,Probablemente sí,Argentina,Una selección nacional,Tarjetas coleccionables,Sí,Sí
86,Brasil,Probablemente sí,México,Una selección nacional,2x1,Sí,Sí
87,Brasil,Tal vez,Argentina,Premios y sorteos,Sorteo de camisetas,Sí,Sí
88,Portugal,Definitivamente sí,México,Una selección nacional,Sorteo de balones,Sí,No
89,Alemania,Probablemente sí,No especificado,Un jugador famoso,Descuento directo,No,Sí
90,Colombia,Probablemente sí,Francia,Humor,Sorteo de balones,Sí,Sí
91,Portugal,Probablemente sí,Argentina,Una selección nacional,Producto gratis,Sí,Sí
92,Brasil,Definitivamente sí,México,Historias de aficionados,Descuento directo,Sí,No
93,Suecia,Definitivamente no,Portugal,Una selección nacional,Descuento directo,No,Sí
94,Argentina,Probablemente no,Portugal,Premios y sorteos,Sorteo de balones,No,Sí
95,España,Definitivamente sí,Austria,Un jugador famoso,Sorteo de viajes,Sí,No
96,España,Probablemente sí,Alemania,Un jugador famoso,2x1,Sí,Sí
97,Portugal,Definitivamente sí,España,Una selección nacional,Tarjetas coleccionables,Sí,Sí
98,México,Probablemente sí,Curaçao,Premios y sorteos,Tarjetas coleccionables,Sí,No
99,Argentina,Definitivamente no,México,Humor,2x1,Sí,No
100,México,Definitivamente sí,Brasil,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
101,Colombia,Tal vez,Irán,Humor,2x1,Sí,No
102,Portugal,Probablemente sí,Argentina,Un jugador famoso,2x1,Sí,No
103,Francia,Probablemente sí,Brasil,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
104,Panamá,Definitivamente sí,Portugal,Un jugador famoso,Sorteo de camisetas,No,No
105,Francia,Probablemente sí,Alemania,Humor,Sorteo de viajes,Sí,No
106,Noruega,Definitivamente sí,Portugal,Un jugador famoso,Sorteo de viajes,Sí,No
107,Estados Unidos,Probablemente sí,Argentina,Historias de aficionados,Descuento directo,Sí,No
108,Argentina,Definitivamente sí,Estados Unidos,Un jugador famoso,Descuento directo,Sí,Sí
109,Inglaterra,Definitivamente sí,México,Una selección nacional,Producto gratis,No,No
110,Argentina,Probablemente sí,Brasil,Historias de aficionados,Sorteo de camisetas,Sí,Sí
111,Brasil,Probablemente sí,Inglaterra,Una selección nacional,2x1,Sí,Sí
112,Argentina,Probablemente sí,México,Un jugador famoso,Producto gratis,No,Sí
113, ALEMANIA ,Probablemente no,Brasil,Una selección nacional,Descuento directo,Sí,Sí
114,España,Tal vez,Francia,Un jugador famoso,Producto gratis,Sí,No
115,Estados Unidos,Probablemente sí,Argentina,Un jugador famoso,Sorteo de viajes,Sí,No
116,Inglaterra,Definitivamente sí,Brasil,Humor,2x1,Sí,No
117,España,Tal vez,México,Un jugador famoso,Descuento directo,Sí,Sí
118,México,Definitivamente sí,Brasil,Una selección nacional,2x1,No,Sí
119,México,Probablemente sí,Estados Unidos,Humor,2x1,Sí,No
120,Brasil,Definitivamente sí,Argentina,Historias de aficionados,2x1,Sí,Sí
121,Inglaterra,Tal vez, BRASIL ,Premios y sorteos,Sorteo de camisetas,Sí,Sí
122,España,Definitivamente no,España,Un jugador famoso,Sorteo de viajes,Sí,Sí
123,Argentina,Definitivamente sí,Brasil,Una selección nacional,Sorteo de viajes,Sí,Sí
124,México,Probablemente sí,Portugal,Humor,Sorteo de camisetas,Sí,No
125,Brasil,Definitivamente sí,Brasil,Humor,Sorteo de balones,Sí,No
126,Alemania,Probablemente sí,España,Un jugador famoso,Producto gratis,Sí,Sí
127,México,Definitivamente sí,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
128,Estados Unidos,Probablemente no,Estados Unidos,Una selección nacional,2x1,Sí,Sí
129,España,Probablemente no,Estados Unidos,Una selección nacional,Descuento directo,Sí,Sí
130,Portugal,Probablemente sí,Argentina,Una selección nacional,Tarjetas coleccionables,Sí,Sí
131,México,Probablemente sí,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,No
132,Portugal,Probablemente sí,México,Premios y sorteos,Descuento directo,Sí,Sí
133,Inglaterra,Probablemente sí,México,Premios y sorteos,Descuento directo,Sí,No
134,Brasil,Probablemente sí,Inglaterra,Historias de aficionados,Sorteo de viajes,Sí,Sí
135,Argentina,Probablemente sí,España,Historias de aficionados,2x1,Sí,No
136,México,Tal vez,Argentina,Humor,Descuento directo,No,Sí
137,España,Probablemente sí,Portugal,Humor,Descuento directo,Sí,No
138,España,Probablemente sí, PORTUGAL ,Un jugador famoso,Producto gratis,Sí,Sí
139,Argentina,Definitivamente sí,México,Un jugador famoso,Sorteo de camisetas,Sí,Sí
140,Portugal,Probablemente no,Brasil,Historias de aficionados,Sorteo de viajes,Sí,Sí
141, ESPAÑA ,Probablemente sí,Argentina,Premios y sorteos,Descuento directo,Sí,No
142,México,Probablemente sí,Argentina,Una selección nacional,Producto gratis,Sí,Sí
143,Alemania,Probablemente sí,Senegal,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
144,Inglaterra,Tal vez,Argentina,Historias de aficionados,2x1,Sí,No
145,España,Probablemente sí,Brasil,Historias de aficionados,Descuento directo,Sí,No
146,Estados Unidos,Definitivamente sí,Portugal,Historias de aficionados,Descuento directo,Sí,No
147,Brasil,Probablemente no,Argentina,Historias de aficionados,2x1,Sí,Sí
148,Brasil,Probablemente no,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,No
149,Brasil,Tal vez,Brasil,Un jugador famoso,Descuento directo,No,No
150,Portugal,Tal vez,México,Un jugador famoso,Sorteo de balones,Sí,No
151,Argentina,Probablemente sí,Colombia,Humor,Descuento directo,Sí,Sí
152,Inglaterra,Definitivamente sí,Francia,Un jugador famoso,Sorteo de camisetas,Sí,Sí
153,Uruguay,Definitivamente no,Argentina,Un jugador famoso,2x1,No,Sí
154,Portugal,Definitivamente sí,Argentina,Premios y sorteos,2x1,Sí,No
155,Francia,Probablemente sí,México,Premios y sorteos,Descuento directo,Sí,Sí
156,México,Definitivamente no,Estados Unidos,Una selección nacional,Descuento directo,Sí,No
157,Argentina,Tal vez,Estados Unidos,Premios y sorteos,2x1,Sí,Sí
158,Francia,Probablemente sí,México,Un jugador famoso,Tarjetas coleccionables,Sí,No
159, MÉXICO ,Definitivamente no,Uruguay,Una selección nacional,Descuento directo,Sí,Sí
160,Estados Unidos,Definitivamente sí,Portugal,Un jugador famoso,Sorteo de camisetas,Sí,Sí
161,Inglaterra,Probablemente no,México,Un jugador famoso,Descuento directo,Sí,Sí
162, PORTUGAL ,Probablemente no,Brasil,Premios y sorteos,Descuento directo,Sí,No
163,Argentina,Tal vez,Argentina,Una selección nacional,Descuento directo,Sí,No
164, MÉXICO ,Probablemente no,Cabo Verde,Una selección nacional,Sorteo de viajes,Sí,Sí
165,Uruguay,Probablemente sí,Argentina,Historias de aficionados,Tarjetas coleccionables,Sí,Sí
166,Argentina,Tal vez,Francia,Un jugador famoso,Producto gratis,Sí,No
167,Estados Unidos,Probablemente no,Inglaterra,Un jugador famoso,Tarjetas coleccionables,Sí,No
168,Argentina,Tal vez,No especificado,Humor,Sorteo de balones,Sí,No
169,Brasil,Definitivamente sí,Alemania,Una selección nacional,Producto gratis,Sí,No
170,Brasil,Definitivamente no,Brasil,Un jugador famoso,2x1,Sí,No
171,Paraguay,Probablemente no,México,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
172,Brasil,Probablemente no,Alemania,Premios y sorteos,Producto gratis,Sí,No
173,Alemania,Probablemente sí,South Africa,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
174,Francia,Definitivamente sí,Argentina,Premios y sorteos,Descuento directo,Sí,Sí
175,España,Definitivamente sí,España,Premios y sorteos,Sorteo de camisetas,Sí,Sí
176,Argentina,Probablemente sí,México,Un jugador famoso,Sorteo de camisetas,Sí,Sí
177,Egipto,Tal vez,Argentina,Humor,Producto gratis,No,Sí
178,España,Probablemente sí, MÉXICO ,Un jugador famoso,Descuento directo,Sí,Sí
179,Alemania,Probablemente sí,Ghana,Un jugador famoso,2x1,Sí,Sí
180,Alemania,Tal vez,Estados Unidos,Premios y sorteos,Descuento directo,No,Sí
181,Brasil,Definitivamente sí,México,Historias de aficionados,Sorteo de camisetas,Sí,Sí
182,Brasil,Probablemente sí,Paraguay,Una selección nacional,Sorteo de balones,Sí,Sí
183,Francia,Definitivamente sí,Brasil,Una selección nacional,Descuento directo,Sí,Sí
184,Argentina,Probablemente no,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
185,Brasil,Definitivamente no,Inglaterra,Premios y sorteos,Sorteo de camisetas,Sí,Sí
186,Argentina,Probablemente no,México,Un jugador famoso,2x1,Sí,No
187,Uruguay,Probablemente no,Brasil,Humor,Descuento directo,Sí,Sí
188,Corea del Sur,Tal vez,Estados Unidos,Humor,2x1,No,Sí
189,México,Probablemente sí,México,Una selección nacional,Sorteo de camisetas,Sí,No
190,Túnez,Probablemente no,Brasil,Premios y sorteos,Descuento directo,Sí,No
191,Argentina,Definitivamente sí,Uzbekistán,Un jugador famoso,2x1,Sí,Sí
192,Argentina,Probablemente sí,Haití,Historias de aficionados,Sorteo de camisetas,Sí,No
193,Argentina,Probablemente sí,Brasil,Premios y sorteos,2x1,No,Sí
194,Argentina,Definitivamente no,Argentina,Una selección nacional,Producto gratis,Sí,No
195,Francia,Definitivamente sí,Argentina,Humor,Producto gratis,Sí,Sí
196,Inglaterra,Probablemente sí,Francia,Un jugador famoso,2x1,Sí,Sí
197,Cabo Verde,Probablemente no,Francia,Humor,2x1,Sí,Sí
198,Argentina,Probablemente sí,Brasil,Un jugador famoso,2x1,Sí,No
199,Brasil,Tal vez,Brasil,Una selección nacional,Descuento directo,No,Sí
200,Uruguay,Definitivamente sí,México,Historias de aficionados,2x1,Sí,Sí
201,Brasil,Probablemente sí,México,Premios y sorteos,Descuento directo,Sí,Sí
202,Francia,Tal vez,Portugal,Una selección nacional,Descuento directo,No,No
203,Inglaterra,Tal vez,México,Humor,2x1,Sí,No
204,España,Definitivamente sí,México,Un jugador famoso,Sorteo de balones,Sí,Sí
205,Inglaterra,Probablemente sí,Portugal,Un jugador famoso,Descuento directo,Sí,No
206,Alemania,Tal vez,España,Un jugador famoso,2x1,Sí,No
207,México,Probablemente sí,Estados Unidos,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
208,Inglaterra,Definitivamente sí,Inglaterra,Premios y sorteos,2x1,Sí,Sí
209,Colombia,Probablemente sí,Francia,Premios y sorteos,Descuento directo,Sí,No
210, FRANCIA ,Probablemente no,Colombia,Premios y sorteos,Producto gratis,Sí,No
211,España,Definitivamente sí,Francia,Humor,Tarjetas coleccionables,Sí,Sí
212,Bosnia y Herzegovina,Tal vez,Francia,Premios y sorteos,2x1,No,Sí
213,Alemania,Definitivamente sí,Francia,Una selección nacional,2x1,Sí,No
214,España,Tal vez, BRASIL ,Humor,Sorteo de camisetas,Sí,No
215,México,Definitivamente sí,Croacia,Un jugador famoso,Descuento directo,Sí,No
216,Estados Unidos,Probablemente sí,Francia,Premios y sorteos,Descuento directo,Sí,Sí
217,Brasil,Probablemente sí,Argentina,Premios y sorteos,Tarjetas coleccionables,No,No
218,México,Probablemente sí,Argentina,Una selección nacional,Descuento directo,Sí,No
219,Francia,Definitivamente sí,Brasil,Una selección nacional,Tarjetas coleccionables,Sí,Sí
220,Argentina,Definitivamente sí,México,Un jugador famoso,Tarjetas coleccionables,Sí,No
221,Argentina,Probablemente no,Alemania,Una selección nacional,Tarjetas coleccionables,Sí,No
222,Argentina,Definitivamente sí,Uruguay,Una selección nacional,Sorteo de viajes,Sí,No
223,España,Probablemente sí,México,Premios y sorteos,Tarjetas coleccionables,No,Sí
224,Argentina,Probablemente no,Brasil,Un jugador famoso,Descuento directo,Sí,Sí
225,Francia,Definitivamente sí,Argentina,Premios y sorteos,2x1,Sí,No
226, BRASIL ,Definitivamente sí,Argentina,Historias de aficionados,Producto gratis,Sí,Sí
227,Inglaterra,Definitivamente sí,Brasil,Una selección nacional,Descuento directo,Sí,Sí
228,Brasil,Probablemente sí,Argentina,Un jugador famoso,Sorteo de viajes,Sí,Sí
229,Argentina,Probablemente sí,Portugal,Humor,2x1,Sí,No
230,Argentina,Probablemente sí,Francia,Una selección nacional,Descuento directo,Sí,No
231,Portugal,Definitivamente sí,Argentina,Una selección nacional,2x1,Sí,Sí
232,México,Tal vez,Inglaterra,Una selección nacional,Descuento directo,Sí,Sí
233,Alemania,Tal vez,Czechia,Humor,2x1,Sí,No
234,Portugal,Tal vez,México,Humor,2x1,Sí,Sí
235,México,Tal vez,Alemania,Premios y sorteos,Tarjetas coleccionables,Sí,No
236,Francia,Tal vez,España,Premios y sorteos,Sorteo de camisetas,Sí,Sí
237, FRANCIA ,Tal vez,Portugal,Un jugador famoso,Producto gratis,Sí,Sí
238,México,Definitivamente sí,No especificado,Una selección nacional,2x1,Sí,No
239,Argentina,Tal vez,Inglaterra,Premios y sorteos,Producto gratis,Sí,Sí
240,Portugal,Definitivamente sí,España,Humor,2x1,Sí,Sí
241,Haití,Probablemente sí,Portugal,Premios y sorteos,Tarjetas coleccionables,Sí,No
242,España,Definitivamente sí,Francia,Un jugador famoso,Producto gratis,Sí,No
243, MÉXICO ,Probablemente no,Argentina,Una selección nacional,Sorteo de viajes,Sí,Sí
244,Francia,Definitivamente sí,Inglaterra,Un jugador famoso,Descuento directo,Sí,No
245,Alemania,Definitivamente sí,Argentina,Premios y sorteos,Descuento directo,Sí,Sí
246,Portugal,Definitivamente sí,Argentina,Un jugador famoso,Producto gratis,Sí,No
247,Argentina,Definitivamente sí,España,Una selección nacional,Sorteo de balones,Sí,No
248,Inglaterra,Definitivamente sí,Ecuador,Un jugador famoso,Tarjetas coleccionables,Sí,No
249,Inglaterra,Tal vez,Alemania,Un jugador famoso,Descuento directo,Sí,No
250,Uruguay,Tal vez,Argentina,Humor,2x1,Sí,No
251,España,Definitivamente no,Noruega,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
252,Estados Unidos,Tal vez,México,Premios y sorteos,Descuento directo,Sí,No
253,Brasil,Tal vez,Argentina,Premios y sorteos,2x1,Sí,No
254,Brasil,Probablemente sí,México,Historias de aficionados,Descuento directo,Sí,No
255,Argentina,Tal vez,Brasil,Premios y sorteos,Producto gratis,Sí,Sí
256,Argentina,Tal vez,Portugal,Un jugador famoso,Sorteo de camisetas,Sí,Sí
257,Irak,Tal vez,Argentina,Historias de aficionados,Tarjetas coleccionables,No,Sí
258,Francia,Probablemente no,México,Una selección nacional,Sorteo de viajes,Sí,No
259,Alemania,Tal vez,Argentina,Un jugador famoso,Tarjetas coleccionables,No,Sí
260,Portugal,Tal vez,Francia,Un jugador famoso,Descuento directo,Sí,No
261,Argentina,Definitivamente sí,México,Un jugador famoso,Producto gratis,Sí,Sí
262,Argentina,Tal vez,Francia,Premios y sorteos,Tarjetas coleccionables,No,Sí
263,Argentina,Definitivamente sí,Estados Unidos,Premios y sorteos,Descuento directo,No,Sí
264,Egipto,Tal vez,Países Bajos,Un jugador famoso,Sorteo de viajes,Sí,No
265,Brasil,Probablemente sí,México,Premios y sorteos,Sorteo de camisetas,Sí,Sí
266, FRANCIA ,Tal vez,México,Una selección nacional,Sorteo de viajes,Sí,Sí
267,México,Definitivamente sí,Inglaterra,Premios y sorteos,Descuento directo,Sí,No
268,Panamá,Tal vez,Argentina,Un jugador famoso,Sorteo de viajes,Sí,Sí
269,Argentina,Probablemente sí,México,Un jugador famoso,Descuento directo,No,No
270,Uruguay,Probablemente sí,Argentina,Un jugador famoso,Producto gratis,Sí,Sí
271,Brasil,Probablemente sí,Inglaterra,Humor,Descuento directo,Sí,Sí
272,Inglaterra,Definitivamente sí,España,Un jugador famoso,Descuento directo,Sí,No
273,España,Definitivamente sí,Túnez,Un jugador famoso,Sorteo de camisetas,Sí,No
274, BRASIL ,Tal vez,Suecia,Humor,2x1,No,No
275,México,Tal vez,Croacia,Una selección nacional,Descuento directo,Sí,No
276,Estados Unidos,Tal vez,Argentina,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
277,Estados Unidos,Definitivamente no,Argentina,Un jugador famoso,2x1,Sí,Sí
278,Francia,Definitivamente no,Inglaterra,Un jugador famoso,Tarjetas coleccionables,No,Sí
279,Argentina,Probablemente sí,Brasil,Un jugador famoso,Sorteo de camisetas,Sí,Sí
280,México,Definitivamente sí,Alemania,Historias de aficionados,Descuento directo,No,No
281,Argentina,Tal vez,Portugal,Una selección nacional,Tarjetas coleccionables,Sí,Sí
282,Portugal,Probablemente sí,España,Historias de aficionados,Sorteo de balones,Sí,No
283,Francia,Tal vez, INGLATERRA ,Un jugador famoso,Descuento directo,Sí,Sí
284,Argentina,Definitivamente sí,Inglaterra,Una selección nacional,Sorteo de camisetas,Sí,No
285,México,Probablemente sí,Inglaterra,Historias de aficionados,2x1,Sí,Sí
286,Inglaterra,Tal vez,Argelia,Un jugador famoso,Descuento directo,Sí,Sí
287,Argentina,Probablemente sí,Brasil,Una selección nacional,Sorteo de camisetas,Sí,Sí
288,Francia,Tal vez,Brasil,Un jugador famoso,Sorteo de viajes,Sí,No
289,Argentina,Definitivamente sí,Brasil,Historias de aficionados,Sorteo de camisetas,Sí,Sí
290,Estados Unidos,Probablemente sí,México,Una selección nacional,Sorteo de viajes,Sí,Sí
291,Colombia,Probablemente sí,Portugal,Un jugador famoso,Producto gratis,Sí,Sí
292,Czechia,Probablemente sí,Brasil,Humor,Tarjetas coleccionables,Sí,No
293,Brasil,Probablemente no,Brasil,Un jugador famoso,2x1,Sí,Sí
294,Argentina,Definitivamente no,Portugal,Humor,Descuento directo,No,Sí
295,Inglaterra,Probablemente sí,Colombia,Premios y sorteos,Descuento directo,Sí,Sí
296,Alemania,Probablemente sí,Brasil,Un jugador famoso,2x1,Sí,Sí
297,Francia,Tal vez,Francia,Historias de aficionados,Tarjetas coleccionables,Sí,No
298,Argelia,Probablemente no, BRASIL ,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
299,Argelia,Probablemente sí,Alemania,Un jugador famoso,Sorteo de balones,Sí,No
300,Brasil,Definitivamente sí,España,Premios y sorteos,Sorteo de viajes,No,No
301,Francia,Definitivamente sí,México,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
302,Argentina,Tal vez,España,Una selección nacional,2x1,Sí,Sí
303,México,Tal vez,Panamá,Historias de aficionados,Sorteo de viajes,Sí,Sí
304,Argentina,Probablemente sí,Brasil,Historias de aficionados,Tarjetas coleccionables,Sí,No
305,Uruguay,Probablemente no,Francia,Un jugador famoso,2x1,No,Sí
306,Uruguay,Definitivamente sí,México,Humor,Tarjetas coleccionables,Sí,Sí
307, BRASIL ,Tal vez,Portugal,Un jugador famoso,Descuento directo,Sí,Sí
308,Estados Unidos,Probablemente sí,Brasil,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
309,Uruguay,Probablemente sí,Argentina,Una selección nacional,2x1,Sí,Sí
310,México,Tal vez,Portugal,Premios y sorteos,2x1,Sí,Sí
311,Brasil,Probablemente sí,Portugal,Humor,Producto gratis,No,Sí
312,Francia,Probablemente sí,Francia,Un jugador famoso,Tarjetas coleccionables,Sí,Sí
313,Argentina,Probablemente no,Curaçao,Un jugador famoso,Descuento directo,Sí,Sí
314,México,Definitivamente sí,Francia,Premios y sorteos,2x1,Sí,No
315,Croacia,Tal vez,No especificado,Una selección nacional,2x1,No,Sí
316,Alemania,Definitivamente sí,Brasil,Una selección nacional,Descuento directo,No,No
317,México,Probablemente sí,Francia,Historias de aficionados,Sorteo de camisetas,Sí,Sí
318,Argentina,Probablemente no,Brasil,Un jugador famoso,Descuento directo,Sí,No
319,Francia,Probablemente sí,Francia,Historias de aficionados,Tarjetas coleccionables,Sí,No
320,Portugal,Probablemente sí,Argentina,Historias de aficionados,Tarjetas coleccionables,Sí,Sí
321,Argentina,Definitivamente sí,Uzbekistán,Un jugador famoso,Producto gratis,No,No
322,Brasil,Probablemente sí,Argentina,Un jugador famoso,Descuento directo,Sí,Sí
323,Argentina,Definitivamente sí,Uruguay,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
324,Alemania,Probablemente sí,Argentina,Premios y sorteos,Producto gratis,Sí,Sí
