DemografiaID,Rango_Edad,Genero,Ocupacion
109,55 años o más,Masculino,Comerciante
110,45 - 54 años,Femenino,Ama de casa
111,18 - 24 años,Masculino,No especificado
112,55 años o más,Masculino,Jubilado
113,18 - 24 años,Masculino,Ama de casa
114,35 - 44 años,Femenino,Profesional independiente
115,55 años o más,Prefiero no indicarlo,Empleado privado
116,35 - 44 años,Masculino,Jubilado
117,35 - 44 años,Masculino,No especificado
118,55 años o más,Femenino,No especificado
119,35 - 44 años,Femenino,Empresario
120,45 - 54 años,Prefiero no indicarlo,Estudiante
121,18 - 24 años,Prefiero no indicarlo,Estudiante
122,35 - 44 años,Prefiero no indicarlo,Empresario
123,Menos de 18 años,Masculino,No especificado
124,25 - 34 años,Prefiero no indicarlo,Empleado privado
125,45 - 54 años,Masculino,Empresario
126,18 - 24 años,Prefiero no indicarlo,Otro
127,18 - 24 años,Femenino,Jubilado
128,45 - 54 años,Masculino,Jubilado
129,Menos de 18 años,Prefiero no indicarlo,Empresario
130,55 años o más,Masculino,Otro
131,25 - 34 años,Prefiero no indicarlo,Estudiante
132,55 años o más,Masculino,Profesional independiente
133,35 - 44 años,Prefiero no indicarlo,Empleado público
134,25 - 34 años,Femenino,No especificado
135,45 - 54 años,Prefiero no indicarlo,Empleado público
136,Menos de 18 años,Prefiero no indicarlo,Empleado público
137,35 - 44 años,Prefiero no indicarlo,Empleado privado
138,45 - 54 años,Masculino,No especificado
139,Menos de 18 años,Prefiero no indicarlo,Profesional independiente
140,35 - 44 años,Prefiero no indicarlo,Otro
141,25 - 34 años,Prefiero no indicarlo,Comerciante
142,45 - 54 años,Femenino,Otro
143,25 - 34 años,Prefiero no indicarlo,Jubilado
144,35 - 44 años,Prefiero no indicarlo,Estudiante
145,25 - 34 años,Prefiero no indicarlo,Ama de casa
146,45 - 54 años,Prefiero no indicarlo,Otro
147,55 años o más,Masculino,No especificado
148,25 - 34 años,Prefiero no indicarlo,Empleado público
149,55 años o más,Prefiero no indicarlo,Comerciante
150,35 - 44 años,Prefiero no indicarlo,Ama de casa
151,25 - 34 años,Masculino,No especificado
152,18 - 24 años,Prefiero no indicarlo,Profesional independiente
153,35 - 44 años,Prefiero no indicarlo,Jubilado
154,55 años o más,Prefiero no indicarlo,Empleado público
155,Menos de 18 años,Femenino,No especificado
156,18 - 24 años,Prefiero no indicarlo,Empresario
